"Run Fondo";"nom_fondo";"fecha";"nemotecnico_instrumento";"nombre_emisor";"codigo_pais_emisor";"tipo_instrumentos";"fecha_vencimiento";"situacion_instrumento";"clasificacion_riesgo";"nombre_grupo_empresarial";"cantidad_unidades";"tipo_unidades";"valor_tipo_instrumento";"codigo_valorizacion";"base_tasa";"tipo_interes";"valorizacion_al_cierre";"codigo_moneda_liquidacion";"codigo_pais_transaccion";"porcentaje_capital_emisor";"porcentaje_total_activos_emisor";"porcentaje_total_activos_fondo"
"8098";LATAM EQUITY;2023-01-31;SBSP3 BZ EQUITY;Cia de Saneamento Basico do Es;BR;ACE;;"1";NA;NA;55000.00;BRL;8795.97;"3";0;NA;483778;BRL;BR;0.000;0.013;1.783
"8098";LATAM EQUITY;2023-01-31;SCCO UN EQUITY;Southern Copper Corp;US;ACE;;"1";NA;NA;4020.00;PROM;60489.90;"3";0;NA;243169;PROM;US;0.000;0.005;0.896
"8098";LATAM EQUITY;2023-01-31;SIMH3 BZ EQUITY;SIMPAR S/A;BR;ACE;;"1";NA;NA;205500.00;BRL;1227.90;"3";0;NA;252333;BRL;BR;0.000;0.252;0.930
"8098";LATAM EQUITY;2023-01-31;STBP3 BZ Equity;SANTOS BRASIL PARTICIPACOES;BR;ACE;;"1";NA;NA;194500.00;BRL;1392.25;"3";0;NA;270793;BRL;BR;0.000;0.000;0.998
"8098";LATAM EQUITY;2023-01-31;TERRA13 MM EQUITY;PLA Administradora Industrial;MX;ACE;;"1";NA;NA;164400.00;MXN;1367.25;"3";0;NA;224776;PROM;MX;0.000;0.225;0.829
"8098";LATAM EQUITY;2023-01-31;TOTS3 BZ EQUITY;TOTVS SA;BR;ACE;;"1";NA;NA;34300.00;BRL;4751.97;"3";0;NA;162993;BRL;BR;0.000;0.002;0.601
"8098";LATAM EQUITY;2023-01-31;TRAXIONA MM Equity;GRUPO TRAXION SAB DE CV;MX;ACE;;"1";NA;NA;141200.00;MXN;1485.71;"3";0;NA;209782;PROM;MX;0.000;0.000;0.773
"8098";LATAM EQUITY;2023-01-31;VALE3 BS EQUITY;Vale SA;BR;ACE;;"1";NA;NA;232620.00;BRL;14935.45;"3";0;NA;3474284;BRL;BR;0.000;0.011;12.806
"8098";LATAM EQUITY;2023-01-31;VAMO3 BZ EQUITY;VAMOS LOCACAO DE CAMINHOES MAQ;BR;ACE;;"1";NA;NA;292300.00;BRL;2310.40;"3";0;NA;675330;BRL;BR;0.000;0.675;2.489
"8098";LATAM EQUITY;2023-01-31;VESTA* MM EQUITY;Corp Inmobiliaria Vesta SAB de;MX;ACE;;"1";NA;NA;36000.00;MXN;2199.91;"3";0;NA;79197;PROM;MX;0.000;0.079;0.292
