"Run Fondo";"nom_fondo";"fecha";"nemotecnico_instrumento";"rut_emisor";"verificador_rut";"codigo_pais_emisor";"tipo_instrumento";"fecha_vencimiento";"situacion_instrumento";"clasificacion_riesgo";"codigo_grupo_empresarial";"cantidad_unidades";"tipo_unidades";"valor_tipo_instrumento";"codigo_valorizacion";"base_tasa";"tipo_interes";"valorizacion_cierre";"codigo_moneda_liquidacion";"codigo_pais_transaccion";"porcentaje_capital_emisor";"porcentaje_total_activos_emisor";"porcentaje_total_activos_fondo"
"8098";LATAM EQUITY;2023-01-31;BSANTANDER;"97036000";K;CL;ACC;;"1";N-1;"0014";3307500.00;$$;33.47;"3";0;NA;110702;$$;CL;0.002;0.000;0.408
"8098";LATAM EQUITY;2023-01-31;CHILE;"97004000";"5";CL;ACC;;"1";N-1;"0003";2293000.00;$$;87.00;"3";0;NA;199491;$$;CL;0.002;0.000;0.735
"8098";LATAM EQUITY;2023-01-31;CMPC;"90222000";"3";CL;ACC;;"1";N-1;"0002";48064.00;$$;1369.00;"3";0;NA;65800;$$;CL;0.002;0.001;0.243
"8098";LATAM EQUITY;2023-01-31;COPEC;"90690000";"9";CL;ACC;;"1";N-1;"0001";16607.00;$$;6005.00;"3";0;NA;99725;$$;CL;0.001;0.000;0.368
"8098";LATAM EQUITY;2023-01-31;ECL;"88006900";"4";CL;ACC;;"1";N-2;"0085";43500.00;$$;507.01;"3";0;NA;22055;$$;CL;0.004;0.002;0.081
"8098";LATAM EQUITY;2023-01-31;FALABELLA;"90749000";"9";CL;ACC;;"1";N-1;"0073";41600.00;$$;1850.00;"3";0;NA;76960;$$;CL;0.002;0.000;0.284
"8098";LATAM EQUITY;2023-01-31;PARAUCO;"94627000";"8";CL;ACC;;"1";N-1;"0156";199378.00;$$;1025.00;"3";0;NA;204362;$$;CL;0.022;0.012;0.753
"8098";LATAM EQUITY;2023-01-31;SMU;"76012676";"4";CL;ACC;;"1";NA;"0197";20800.00;$$;123.50;"3";0;NA;2569;$$;CL;0.000;0.000;0.009
"8098";LATAM EQUITY;2023-01-31;SQM-B;"93007000";"9";CL;ACC;;"1";N-4;"0024";8400.00;$$;77446.00;"3";0;NA;650546;$$;CL;0.003;0.026;2.398
"8160";LATINOAMÉRICA;2023-01-31;BNPDBC090223;"97029000";"1";CL;PDBC;2023-09-02;"1";NA;"0000";200000000.00;$$;0.92;"1";30;NL;199448;$$;CL;0.000;0.001;1.824
"8160";LATINOAMÉRICA;2023-01-31;BNPDBC080223;"97029000";"1";CL;PDBC;2023-08-02;"1";NA;"0000";40000000.00;$$;0.92;"1";30;NL;39902;$$;CL;0.000;0.000;0.365
"8206";ACC. LATINOAMERICANA;2023-01-31;ENELCHILE;"76536353";"5";CL;ACC;;"1";N-2;"0015";821538.00;CA;37.59;"3";0;NA;30882;$$;CL;0.012;0.000;0.845
"8206";ACC. LATINOAMERICANA;2023-01-31;SQM-B;"93007000";"9";CL;ACC;;"1";N-3;"0024";729.00;CA;77446.00;"3";0;NA;56458;$$;CL;0.003;0.000;1.545
"8247";ACCIONES LATAM;2023-01-31;CFMEURC18D;"8381";K;CL;CFM;;"1";NA;"0000";753.13;CU;962.87;"3";0;NC;725;$$;CL;0.002;725.000;0.007
"8247";ACCIONES LATAM;2023-01-31;CFMEURCHCE;"8381";K;CL;CFM;;"1";NA;"0000";14014.30;CU;817.81;"3";0;NC;11461;$$;CL;0.037;114.100;0.110
"8247";ACCIONES LATAM;2023-01-31;CFMEURESGE;"9625";"3";CL;CFM;;"1";NA;"0000";3221.56;CU;614707.26;"3";0;NC;1980316;$$;CL;0.011;0.011;19.082
"8247";ACCIONES LATAM;2023-01-31;CFMEURMMKE;"8459";K;CL;CFM;;"1";NA;"0000";85161.84;CU;1761.35;"3";0;NC;150000;$$;CL;0.465;150.000;1.445
"8247";ACCIONES LATAM;2023-01-31;CFMEURSCLE;"8948";"6";CL;CFM;;"1";NA;"0000";3053.46;CU;650264.00;"3";0;NC;1985555;$$;CL;7.517;198.555;19.132
"8247";ACCIONES LATAM;2023-01-31;CFMZCHCHIW;"8381";K;CL;CFM;;"1";NA;"0000";1.05;CU;1129.53;"3";0;NC;1;$$;CL;0.000;10.000;0.000
"8247";ACCIONES LATAM;2023-01-31;CFMZCHDLCW;"8918";"4";CL;CFM;;"1";NA;"0000";1.05;CU;1212.69;"3";0;NC;1;$$;CL;10.000;10.000;0.000
"8482";LATAM;2023-01-31;CMPC;"90222000";"3";CL;ACC;;"1";N-1;"0002";44403.00;$$;1369.00;"3";0;NA;60788;$$;CL;0.002;0.000;4.277
