"fecha";"Run Fondo";"Serie";"Período";"Rentabilidad"
2023-01-31;"8098";B;"1M";-0.05121861290184393
2023-01-31;"8098";B;"3M";-0.35936229293221844
2023-01-31;"8098";B;"6M";-0.16656207297676728
2023-01-31;"8098";B;"1Y";0.21947809591362577
2023-01-31;"8098";B;YTD;-0.05132666638183592
2023-02-01;"8098";B;"1M";-0.10997157566456506
2023-02-01;"8098";B;"3M";-0.39901601623849414
2023-02-01;"8098";B;"6M";-0.1592858639501511
2023-02-01;"8098";B;"1Y";0.1263430335199931
2023-02-01;"8098";B;YTD;-0.1101753178631999
2023-02-02;"8098";B;"1M";-0.164329593545687
2023-02-02;"8098";B;"3M";-0.4850657584244872
2023-02-02;"8098";B;"6M";-0.20848461403545382
2023-02-02;"8098";B;"1Y";0.0519289996979202
2023-02-02;"8098";B;YTD;-0.16461701386228922
2023-02-03;"8098";B;"1M";-0.08278127209810837
2023-02-03;"8098";B;"3M";-0.5190592165651084
2023-02-03;"8098";B;"6M";-0.258406321492624
2023-02-03;"8098";B;"1Y";-0.0057614199259088394
2023-02-03;"8098";B;YTD;-0.17774148094902986
2023-02-04;"8098";B;"1M";-0.1122903371173457
2023-02-04;"8098";B;"3M";-0.5095486155106816
2023-02-04;"8098";B;"6M";-0.2789880981757311
2023-02-04;"8098";B;"1Y";-0.04354747315544494
2023-02-04;"8098";B;YTD;-0.17783851480100932
2023-02-05;"8098";B;"1M";-0.16235931160530093
2023-02-05;"8098";B;"3M";-0.5095365458018313
2023-02-05;"8098";B;"6M";-0.32161511501481077
2023-02-05;"8098";B;"1Y";-0.04353800286027021
2023-02-05;"8098";B;YTD;-0.1779355044861487
2023-02-06;"8098";B;"1M";-0.13562189460699325
2023-02-06;"8098";B;"3M";-0.4840943110401734
2023-02-06;"8098";B;"6M";-0.286410672464112
2023-02-06;"8098";B;"1Y";0.006062578239835803
2023-02-06;"8098";B;YTD;-0.1354151368159754
2023-02-07;"8098";B;"1M";-0.1622141962467225
2023-02-07;"8098";B;"3M";-0.4422865394686879
2023-02-07;"8098";B;"6M";-0.3083313971337013
2023-02-07;"8098";B;"1Y";-0.04415020253718016
2023-02-07;"8098";B;YTD;-0.16211022435670486
2023-02-08;"8098";B;"1M";-0.1721524071975965
2023-02-08;"8098";B;"3M";-0.421810295170442
2023-02-08;"8098";B;"6M";-0.329181869481467
2023-02-08;"8098";B;"1Y";-0.057533241061826
2023-02-08;"8098";B;YTD;-0.172144944416462
2023-02-09;"8098";B;"1M";-0.1591175457395596
2023-02-09;"8098";B;"3M";-0.40028967924165615
2023-02-09;"8098";B;"6M";-0.32307750357945664
2023-02-09;"8098";B;"1Y";-0.07183192637477598
2023-02-09;"8098";B;YTD;-0.18661763283486288
2023-02-10;"8098";B;"1M";-0.14927363320533515
2023-02-10;"8098";B;"3M";-0.29887332497671293
2023-02-10;"8098";B;"6M";-0.3016277061630832
2023-02-10;"8098";B;"1Y";0.018146984987987613
2023-02-10;"8098";B;YTD;-0.16105114199759296
2023-02-11;"8098";B;"1M";-0.15122784612658735
2023-02-11;"8098";B;"3M";-0.3075801453599203
2023-02-11;"8098";B;"6M";-0.26935562120773426
2023-02-11;"8098";B;"1Y";-0.013428908497582048
2023-02-11;"8098";B;YTD;-0.16115024002445522
2023-02-12;"8098";B;"1M";-0.15752957163171122
2023-02-12;"8098";B;"3M";-0.30756109177852886
2023-02-12;"8098";B;"6M";-0.3197969605909545
2023-02-12;"8098";B;"1Y";-0.01341916807457233
2023-02-12;"8098";B;YTD;-0.1612492927831849
2023-02-13;"8098";B;"1M";-0.15898403636271563
2023-02-13;"8098";B;"3M";-0.30483002342914955
2023-02-13;"8098";B;"6M";-0.3171059909813079
2023-02-13;"8098";B;"1Y";-0.009545444215880994
2023-02-13;"8098";B;YTD;-0.1580637603303271
2023-02-14;"8098";B;"1M";-0.18270741212359187
2023-02-14;"8098";B;"3M";-0.3679444640686682
2023-02-14;"8098";B;"6M";-0.3363408022734652
2023-02-14;"8098";B;"1Y";-0.0544327143821981
2023-02-14;"8098";B;YTD;-0.1819071773796861
2023-02-15;"8098";B;"1M";-0.1622360669785261
2023-02-15;"8098";B;"3M";-0.322401320529774
2023-02-15;"8098";B;"6M";-0.3196886548612081
2023-02-15;"8098";B;"1Y";-0.013169714036846303
2023-02-15;"8098";B;YTD;-0.1615122212967247
2023-02-16;"8098";B;"1M";-0.10890727426871649
2023-02-16;"8098";B;"3M";-0.299711309444999
2023-02-16;"8098";B;"6M";-0.29483373258220347
2023-02-16;"8098";B;"1Y";0.009983063273715675
2023-02-16;"8098";B;YTD;-0.14170286248947583
2023-02-17;"8098";B;"1M";-0.125202657582126
2023-02-17;"8098";B;"3M";-0.3472494859978277
2023-02-17;"8098";B;"6M";-0.33524684981931474
2023-02-17;"8098";B;"1Y";0.044799750289072016
2023-02-17;"8098";B;YTD;-0.1466671766332036
2023-02-18;"8098";B;"1M";-0.08691852571245351
2023-02-18;"8098";B;"3M";-0.37796703462787395
2023-02-18;"8098";B;"6M";-0.38788475449469684
2023-02-18;"8098";B;"1Y";0.07199058556041305
2023-02-18;"8098";B;YTD;-0.1467679045456033
2023-02-19;"8098";B;"1M";-0.1473132233213872
2023-02-19;"8098";B;"3M";-0.37795053920860877
2023-02-19;"8098";B;"6M";-0.4369560003491927
2023-02-19;"8098";B;"1Y";0.07200123092973221
2023-02-19;"8098";B;YTD;-0.14686858718466567
2023-02-20;"8098";B;"1M";-0.12266908686735056
2023-02-20;"8098";B;"3M";-0.37828580956640123
2023-02-20;"8098";B;"6M";-0.43725295650911133
2023-02-20;"8098";B;"1Y";0.07140567209170023
2023-02-20;"8098";B;YTD;-0.14745163916168214
2023-02-21;"8098";B;"1M";-0.1120854111666375
2023-02-21;"8098";B;"3M";-0.4266924946127636
2023-02-21;"8098";B;"6M";-0.4304409136384837
2023-02-21;"8098";B;"1Y";0.06063236582888121
2023-02-21;"8098";B;YTD;-0.13726622182274684
2023-02-22;"8098";B;"1M";-0.12100244051031561
2023-02-22;"8098";B;"3M";-0.398944076808313
2023-02-22;"8098";B;"6M";-0.43353306648375645
2023-02-22;"8098";B;"1Y";0.04069415270867083
2023-02-22;"8098";B;YTD;-0.1460286600745011
2023-02-23;"8098";B;"1M";-0.07301928390921886
2023-02-23;"8098";B;"3M";-0.3521647423798645
2023-02-23;"8098";B;"6M";-0.39910049840476824
2023-02-23;"8098";B;"1Y";0.1305443467509071
2023-02-23;"8098";B;YTD;-0.12224235687097174
2023-02-24;"8098";B;"1M";-0.01857203487651482
2023-02-24;"8098";B;"3M";-0.31893659209821523
2023-02-24;"8098";B;"6M";-0.34151565011275176
2023-02-24;"8098";B;"1Y";0.11206449172214161
2023-02-24;"8098";B;YTD;-0.08789985177613469
2023-02-25;"8098";B;"1M";-0.03972891337181472
2023-02-25;"8098";B;"3M";-0.30105118454042523
2023-02-25;"8098";B;"6M";-0.334068151017458
2023-02-25;"8098";B;"1Y";0.08036467864191743
2023-02-25;"8098";B;YTD;-0.08800750524968193
2023-02-26;"8098";B;"1M";-0.04118538759250323
2023-02-26;"8098";B;"3M";-0.30103210184484797
2023-02-26;"8098";B;"6M";-0.2984861169398306
2023-02-26;"8098";B;"1Y";0.08040804240856336
2023-02-26;"8098";B;YTD;-0.0881151523697854
2023-02-27;"8098";B;"1M";0.03571639226142276
2023-02-27;"8098";B;"3M";-0.26000474421838005
2023-02-27;"8098";B;"6M";-0.2573117816556557
2023-02-27;"8098";B;"1Y";0.14383949748079528
2023-02-27;"8098";B;YTD;-0.034730512922217516
2023-02-28;"8098";B;"1M";0.013632811184321136
2023-02-28;"8098";B;"3M";-0.2711020320795575
2023-02-28;"8098";B;"6M";-0.27312784512283883
2023-02-28;"8098";B;"1Y";0.1494070091408639
2023-02-28;"8098";B;YTD;-0.05542078335677436
2023-03-01;"8098";B;"1M";0.010200862837148161
2023-03-01;"8098";B;"3M";-0.27008924587907557
2023-03-01;"8098";B;"6M";-0.23596308092702423
2023-03-01;"8098";B;"1Y";0.0717125253866473
2023-03-01;"8098";B;YTD;-0.10109833833161341
2023-03-02;"8098";B;"1M";0.0501107799864271
2023-03-02;"8098";B;"3M";-0.27562557783215835
2023-03-02;"8098";B;"6M";-0.24183681015601666
2023-03-02;"8098";B;"1Y";-0.011227623296381495
2023-03-02;"8098";B;YTD;-0.12275532083953788
2023-03-03;"8098";B;"1M";0.05755398833619285
2023-03-03;"8098";B;"3M";-0.28187077814412753
2023-03-03;"8098";B;"6M";-0.2483367693354468
2023-03-03;"8098";B;"1Y";-0.015756004421323744
2023-03-03;"8098";B;YTD;-0.13041722373423514
2023-03-04;"8098";B;"1M";0.05755129349654875
2023-03-04;"8098";B;"3M";-0.28187582404465383
2023-03-04;"8098";B;"6M";-0.24830549301744076
2023-03-04;"8098";B;"1Y";-0.03186289777510665
2023-03-04;"8098";B;YTD;-0.1305220578647639
2023-03-05;"8098";B;"1M";0.057548548889585716
2023-03-05;"8098";B;"3M";-0.25139151264215476
2023-03-05;"8098";B;"6M";-0.20134350743002483
2023-03-05;"8098";B;"1Y";-0.031858768124166104
2023-03-05;"8098";B;YTD;-0.13062688567567726
2023-03-06;"8098";B;"1M";-0.009838632523819446
2023-03-06;"8098";B;"3M";-0.26776313543600927
2023-03-06;"8098";B;"6M";-0.24681727707969026
2023-03-06;"8098";B;"1Y";-0.04654474609351211
2023-03-06;"8098";B;YTD;-0.14392146957049978
2023-03-07;"8098";B;"1M";-0.0236036523498242
2023-03-07;"8098";B;"3M";-0.27782591808391177
2023-03-07;"8098";B;"6M";-0.2757353496309608
2023-03-07;"8098";B;"1Y";-0.04669290592129871
2023-03-07;"8098";B;YTD;-0.18188748332846139
2023-03-08;"8098";B;"1M";0.05933929644675606
2023-03-08;"8098";B;"3M";-0.22577424877013974
2023-03-08;"8098";B;"6M";-0.2136234571051311
2023-03-08;"8098";B;"1Y";-0.004633736928816079
2023-03-08;"8098";B;YTD;-0.12302060785824465
2023-03-09;"8098";B;"1M";0.04379234021324674
2023-03-09;"8098";B;"3M";-0.16199650103899477
2023-03-09;"8098";B;"6M";-0.29212965774103816
2023-03-09;"8098";B;"1Y";-0.04728830774208004
2023-03-09;"8098";B;YTD;-0.15099771548851126
2023-03-10;"8098";B;"1M";-0.053407836895963956
2023-03-10;"8098";B;"3M";-0.2160564503212603
2023-03-10;"8098";B;"6M";-0.3377638803166578
