"Run Fondo";"serie";"caracteristica";"fecha_inicio";"fecha_termino";"valor_inicial_cuota";"continuadora_serie"
"8098";UNICA;;1996-11-25;2002-06-07;1000;
"8098";D;APV;2003-08-29;2008-10-06;1000;
"8098";APVC1;APV;2008-10-06;2012-01-02;1000;
"8098";APVC2;APV;2008-10-06;2012-01-02;1000;
"8098";APVC3;APV;2008-10-06;2012-01-02;1000;
"8098";APVC4;APV;2008-10-06;2012-01-02;1000;
"8098";E;;2003-09-29;2012-12-31;1000;
"8098";F;;2003-09-29;2012-12-31;1000;
"8098";I;;2011-05-20;2012-12-31;1000;
"8098";M;;2013-01-01;2016-10-14;1000;I
"8098";A;;2002-06-08;2022-04-29;987.2;UNICA
"8098";AC;;;2022-04-29;1000;
"8098";APVAC;APV;;2022-04-29;1000;
"8098";C;APV;2002-06-08;2022-04-29;1000;
"8098";I;;;2022-04-29;1000;
"8098";LP180;;2013-01-01;2022-04-29;2443.0009;F
"8098";LP3;;2013-01-01;2022-04-29;2659.956;E
"8098";LPI;;2016-10-15;2022-04-29;1239.2837;M
"8098";PLAN1;APV;2012-01-03;2022-04-29;1013.0488;APVC1
"8098";PLAN2;APV;2012-01-03;2022-04-29;1381.5755;APVC2
"8098";PLAN3;APV;2012-01-03;2022-04-29;1065.4437;APVC3
"8098";PLAN4;APV;2012-01-03;2022-04-29;1223.5764;APVC4
"8098";B;APV;2002-06-08;;1000;
"8098";G;;2008-04-15;;1000;
"8098";GLB;;2022-04-30;;1000;A
"8098";H;APV;2022-04-30;;1000;C
"8098";I2;;;;1000;
"8098";INV;;2022-04-30;;1000;LP180
"8098";K;APV;2022-05-02;;1000;
"8098";O;;2018-04-10;;1000;
"8098";P;APV;2022-04-30;;1000;
"8098";PAT;;2022-04-30;;1000;LPI
"8160";UNICA;;2000-07-17;2006-03-11;3000;
"8160";ALTO;;2017-06-13;;1000;
"8160";AM;;;;1000;
"8160";APV;APV;2006-03-12;;5368.3613;UNICA
"8160";EJECU;;2006-03-12;;5368.3613;UNICA
"8160";G;;2017-04-28;;1000;
"8160";III;;2017-11-22;;1000;
"8160";INVER;;2006-03-12;;1000;
"8160";UNIVE;;2006-03-12;;1000;
"8206";UNICA;;2002-02-07;2002-08-13;1000;
"8206";A;;2002-08-14;2007-06-30;889.6383;UNICA
"8206";B;;2002-08-14;2007-06-30;2972.5826;B
"8206";A-APV;APV;2007-07-01;2011-01-25;2562.225;A
"8206";C-APV;APV;2007-07-01;2011-01-25;2400.9224;C
"8206";A;;2007-07-01;2017-10-05;2562.225;A
"8206";C;;2002-08-14;2017-10-05;1000;
"8206";B;;2007-07-01;;2972.5826;B
"8206";B-APV;APV;2007-07-01;;2972.5826;B
"8206";D;;2015-03-13;;1000;
"8206";D-APV;APV;2015-03-13;;1000;
